ctr,decade,pop,urb_inhab,im3_dec
de,700,3125,44,1632
de,720,,,1542
de,740,,,8971
de,760,,,26407
de,780,,,30985
de,800,3250,89,80089
de,820,,,113547
de,840,,,75537
de,860,,,105876
de,880,,,112127
de,900,3375,138,105615
de,920,,,57587
de,940,,,68750
de,960,,,145733
de,980,,,176320
de,1000,3500,219,229927
de,1020,,,336854
de,1040,,,375560
de,1060,,,519004
de,1080,,,363971
de,1100,4000,346,281358
de,1120,,,303906
de,1140,,,358248
de,1160,,,398854
de,1180,,,458147
de,1200,6000,558,399000
de,1220,,,477120
de,1240,,,704487
de,1260,,,662555
de,1280,,,723988
de,1300,9000,774,718886
de,1320,,,697798
de,1340,,,683851
de,1360,,,615537
de,1380,,,466874
de,1400,6500,639,601698
de,1420,,,625314
de,1440,,,744035
de,1460,,,737153
de,1480,,,777098
de,1500,9000,950,652993
it,700,3750,338,126999
it,720,,,142243
it,740,,,192063
it,760,,,163159
it,780,,,199419
it,800,4000,406,211593
it,820,,,255170
it,840,,,306267
it,860,,,338117
it,880,,,260546
it,900,4500,503,290225
it,920,,,398931
it,940,,,331585
it,960,,,288798
it,980,,,331668
it,1000,5000,670,353880
it,1020,,,424586
it,1040,,,445344
it,1060,,,474015
it,1080,,,839204
it,1100,5750,833,1088670
it,1120,,,1039269
it,1140,,,1204973
it,1160,,,947853
it,1180,,,1095953
it,1200,7250,1156,804559
it,1220,,,719128
it,1240,,,1172960
it,1260,,,1373862
it,1280,,,1248983
it,1300,10000,1717,1234526
it,1320,,,1490387
it,1340,,,1008747
it,1360,,,715890
it,1380,,,584937
it,1400,7000,1275,722616
it,1420,,,595104
it,1440,,,599472
it,1460,,,717269
it,1480,,,865576
it,1500,10000,1889,706111
uk,700,710,42,1400
uk,720,,,2130
uk,740,,,3929
uk,760,,,17697
uk,780,,,11955
uk,800,740,59,6839
uk,820,,,6050
uk,840,,,7243
uk,860,,,7717
uk,880,,,8897
uk,900,1220,69,9092
uk,920,,,10475
uk,940,,,12019
uk,960,,,17580
uk,980,,,84111
uk,1000,1700,97,52513
uk,1020,,,41848
uk,1040,,,45451
uk,1060,,,66396
uk,1080,,,161144
uk,1100,2100,142,335971
uk,1120,,,369630
uk,1140,,,346891
uk,1160,,,187854
uk,1180,,,155080
uk,1200,2900,212,302391
uk,1220,,,307536
uk,1240,,,345024
uk,1260,,,346038
uk,1280,4445.840943,,320062
uk,1300,4716.198666,310,226261
uk,1320,4383.391019,,251852
uk,1340,4548.650542,,230118
uk,1360,2561.570153,,158296
uk,1380,2435.827701,,158443
uk,1400,2077.927128,222,187228
uk,1420,2035.712304,,156951
uk,1440,1956.587788,,148739
uk,1460,1956.284243,,172738
uk,1480,2074.04134,,109084
uk,1500,2198.886738,288,71531
fr,700,4750,231,7593
fr,720,,,17578
fr,740,,,39317
fr,760,,,49387
fr,780,,,67153
fr,800,5000,315,86277
fr,820,,,165023
fr,840,,,144549
fr,860,,,274472
fr,880,,,188006
fr,900,5750,404,151257
fr,920,,,200042
fr,940,,,200063
fr,960,,,221765
fr,980,,,409009
fr,1000,6500,527,267936
fr,1020,,,472515
fr,1040,,,727634
fr,1060,,,586339
fr,1080,,,611879
fr,1100,7750,669,674235
fr,1120,,,621385
fr,1140,,,820842
fr,1160,,,1200387
fr,1180,,,873013
fr,1200,10500,918,931645
fr,1220,,,1093087
fr,1240,,,1206546
fr,1260,,,1089660
fr,1280,,,951257
fr,1300,16000,1255,977507
fr,1320,,,899638
fr,1340,,,854557
fr,1360,,,638240
fr,1380,,,583814
fr,1400,11000,893,455760
fr,1420,,,469761
fr,1440,,,659220
fr,1460,,,625603
fr,1480,,,658307
fr,1500,15000,1371,690583
be,700,300,15,690
be,720,,,2973
be,740,,,7763
be,760,,,7660
be,780,,,6666
be,800,300,30,9141
be,820,,,23197
be,840,,,27852
be,860,,,16384
be,880,,,5322
be,900,350,39,3992
be,920,,,5967
be,940,,,15943
be,960,,,43272
be,980,,,27251
be,1000,400,64,55996
be,1020,,,61268
be,1040,,,92358
be,1060,,,109034
be,1080,,,127451
be,1100,600,99,58271
be,1120,,,85461
be,1140,,,169838
be,1160,,,155902
be,1180,,,120321
be,1200,900,166,126840
be,1220,,,187862
be,1240,,,175349
be,1260,,,286613
be,1280,,,203884
be,1300,1250,325,171484
be,1320,,,192251
be,1340,,,178249
be,1360,,,158761
be,1380,,,147348
be,1400,800,335,190693
be,1420,,,208136
be,1440,,,191530
be,1460,,,219820
be,1480,,,248166
be,1500,1250,407,190201
ch,700,300,11,750
ch,720,,,1144
ch,740,,,4035
ch,760,,,5410
ch,780,,,2854
ch,800,300,13,1416
ch,820,,,16333
ch,840,,,33219
ch,860,,,12503
ch,880,,,14689
ch,900,300,18,3274
ch,920,,,520
ch,940,,,245
ch,960,,,781
ch,980,,,6572
ch,1000,300,22,12325
ch,1020,,,28287
ch,1040,,,17001
ch,1060,,,22621
ch,1080,,,16430
ch,1100,400,27,30321
ch,1120,,,28378
ch,1140,,,14903
ch,1160,,,11326
ch,1180,,,45029
ch,1200,500,38,75549
ch,1220,,,45666
ch,1240,,,45232
ch,1260,,,44692
ch,1280,,,69855
ch,1300,800,45,47230
ch,1320,,,30664
ch,1340,,,20172
ch,1360,,,16581
ch,1380,,,15791
ch,1400,600,48,14737
ch,1420,,,27946
ch,1440,,,37931
ch,1460,,,39786
ch,1480,,,51440
ch,1500,800,61,27659
nl,700,200,3,160
nl,720,,,266
nl,740,,,396
nl,760,,,552
nl,780,,,593
nl,800,200,10,699
nl,820,,,871
nl,840,,,1226
nl,860,,,1685
nl,880,,,2160
nl,900,250,12,1883
nl,920,,,7169
nl,940,,,30735
nl,960,,,25165
nl,980,,,15670
nl,1000,300,23,10591
nl,1020,,,26925
nl,1040,,,53440
nl,1060,,,55559
nl,1080,,,30962
nl,1100,400,37,17718
nl,1120,,,18476
nl,1140,,,39367
nl,1160,,,52682
nl,1180,,,57774
nl,1200,600,66,48362
nl,1220,,,70171
nl,1240,,,76136
nl,1260,,,107707
nl,1280,,,126524
nl,1300,800,112,125524
nl,1320,,,151185
nl,1340,,,169237
nl,1360,,,150043
nl,1380,,,132625
nl,1400,600,138,204354
nl,1420,,,330822
nl,1440,,,342010
nl,1460,,,397345
nl,1480,,,292623
nl,1500,900,262,336017
