.id,year,landlocked,rivercanal,coastal
north,700,176.902444433584,316.973865897394,181.647993097485
north,800,1756.8703639651,2089.46626806235,915.570295222612
north,900,994.679807935637,3228.35722064081,637.327553275043
north,1000,3639.37079939375,9097.96422947352,3773.28100562173
north,1100,8698.2790640274,14904.870682948,7958.8391927692
north,1200,11758.470922187,20727.1363280083,14495.8815704236
north,1300,8265.99568980777,22476.3718950167,23994.6295006804
north,1400,6327.56589834453,18351.1330712388,23042.6157497989
north,1500,5770.94138221389,15414.6661995962,15374.6956770215
south,700,1667.45124410492,3778.7489230713,3864.83554646203
south,800,2660.09577523989,8467.76538332981,6067.91623161544
south,900,3509.64430504481,12729.224949266,5859.37068747596
south,1000,6555.67992511369,14350.7417885143,7361.20431121811
south,1100,12540.6287081911,32092.1150042294,24085.4137986916
south,1200,18774.9910021971,26350.5435028756,23061.3642974816
south,1300,14900.1815867216,41797.0628426022,28902.7317950126
south,1400,8766.90191396734,25098.1742420808,11142.7830377982
south,1500,9121.2180723818,22016.1502212062,6697.55527551265
